date,0,1,2,3,4,5,6,7
2015-09-11,-0.3250602,-0.42988926,0.24292584,0.18056996,0.16044316,0.06831679,-0.21164906,0.14273831
2015-09-14,0.27989724,-0.11827982,0.54319054,0.23553741,0.14942034,0.41243926,0.20725232,0.11915318
2015-09-15,-0.24034618,-0.3667478,0.276778,0.20330554,0.07939434,0.05728915,-0.14134511,0.02960889
2015-09-16,-0.67172956,-0.6609404,0.13654375,0.15425237,0.35031816,0.012000289,-0.440571,0.40995353
2015-09-17,-0.38171437,-0.45757258,0.18054554,0.08810893,0.15277278,-0.10261755,-0.28579536,0.2053827
2015-09-18,-0.27891654,-0.42419887,0.24393521,-0.01239796,0.20013572,0.03170114,-0.3001027,0.301091
2015-09-21,-0.86152315,-0.7795038,0.06274943,0.10015999,0.23781414,-0.31674156,-0.50770855,0.21443124
2015-09-22,-0.10961374,-0.31596774,0.29956073,-0.0052812323,0.19581987,0.15459874,-0.21546477,0.2942277
2015-09-23,-0.5416027,-0.57059443,0.21453203,0.16326487,0.19249216,-0.003617718,-0.3367255,0.13798144
2015-09-24,-0.29628497,-0.42168206,0.29636574,0.10891236,0.12579541,0.080664605,-0.22994679,0.10422021
2015-09-25,0.039123267,-0.24018623,0.44936317,0.08900831,0.1262588,0.34247217,-0.058237027,0.14717601
2015-09-28,-0.62227666,-0.6072446,0.059565786,0.12529474,0.2520497,-0.2158101,-0.39172912,0.32405442
2015-09-29,-0.3252775,-0.42863727,0.25234833,0.17904556,0.16249673,0.08606897,-0.22397792,0.1572285
2015-09-30,-0.06852665,-0.28294253,0.29103372,-0.015224211,0.15937208,0.109169915,-0.19463465,0.26074776
2015-10-08,-0.41800103,-0.46754944,0.12136556,0.16062964,0.16175589,-0.1507683,-0.26443166,0.21240297
2015-10-09,-0.37754217,-0.47833174,0.24159338,0.060286794,0.18844953,0.022128206,-0.30693778,0.22163463
2015-10-12,-0.76436365,-0.703882,0.07198933,0.1608727,0.17985363,-0.30452543,-0.41391045,0.106085
2015-10-13,-0.41086522,-0.49336493,0.23976584,0.10421185,0.1760136,0.018022876,-0.29455143,0.17380178
2015-10-14,-0.12594947,-0.30717915,0.26515037,0.14194536,0.14185168,0.11396778,-0.1326913,0.20472461
2015-10-15,-0.62745833,-0.62673527,0.13080695,0.08081798,0.21065241,-0.18064924,-0.40277997,0.21675849
2015-10-16,-0.248319,-0.39019054,0.29050392,0.1267944,0.15866832,0.13565896,-0.21624857,0.17742555
2015-10-19,-0.11525241,-0.30408025,0.28909695,0.15134735,0.13671112,0.14740068,-0.11439354,0.1859425
2015-10-20,-0.5975623,-0.6030835,0.15697527,0.112298205,0.19778018,-0.12713389,-0.37770265,0.18607065
2015-10-21,0.044688985,-0.21483342,0.39896366,0.26514372,0.08605303,0.25049967,0.08354699,0.046218317
2015-10-22,-0.60016,-0.60010415,0.15204714,0.21410304,0.24791664,-0.024328837,-0.3395077,0.2139407
2015-10-23,-0.3893939,-0.49235386,0.26598486,0.05521313,0.23524202,0.10847202,-0.33723354,0.2883734
2015-10-26,-0.027741585,-0.25235918,0.29266855,0.052287046,0.12361157,0.10788208,-0.11988942,0.198877
2015-10-27,-0.33640414,-0.468405,0.2323745,-0.07245118,0.25508112,0.03305914,-0.3741016,0.3922647
2015-10-28,-0.24305783,-0.38522303,0.312109,0.17009811,0.12057769,0.1431756,-0.1693452,0.071101695
2015-10-29,-0.19178975,-0.35304642,0.3006395,0.022599079,0.1728023,0.11761135,-0.25274962,0.26125026
2015-10-30,-0.3377511,-0.43021476,0.1658827,0.08147204,0.14581479,-0.1227916,-0.25923103,0.21133423
